trigger_condition,priority,escalation_target,sla_hours,category
"Customer mentions legal action or lawsuit","critical","legal_team",1,legal
"Data breach or unauthorized access reported","critical","security_team",0.5,security
"Customer revenue >$100K annually and unresolved after 2 hours","high","senior_account_manager",2,enterprise
"Service outage affecting multiple customers","critical","engineering_on_call",0.5,technical
"Payment processing failure on live transactions","critical","payment_ops_team",1,billing
"Customer threatens to churn within 30 days","high","retention_specialist",4,retention
"Ticket unresolved after 24 hours","high","team_lead",24,sla_breach
"Customer requests GDPR data deletion","high","privacy_officer",4,compliance
"Abusive or threatening language detected","high","senior_agent_and_security",1,safety
"Third consecutive contact for same issue","high","senior_support_engineer",2,repeat_contact
"Social media complaint with >1000 engagements","critical","pr_team_and_support_lead",1,reputation
"Enterprise customer reports API downtime","critical","engineering_team",1,technical
"Billing dispute exceeding $5000","high","finance_manager",4,billing
"Customer reports PII exposure","critical","security_and_legal_team",0.5,security
"VIP customer (C-suite) contacts support","high","dedicated_account_manager",1,enterprise
"Integration failure affecting customer operations","high","integration_specialist",2,technical
"Customer satisfaction score below 2/10","high","customer_success_manager",4,satisfaction
"Ticket reopened more than twice","high","quality_assurance_lead",4,quality
"Accessibility complaint from disabled user","high","product_team_and_compliance",4,accessibility
"System performance degradation >50% from baseline","critical","site_reliability_team",1,technical
"Customer requests executive escalation","high","director_of_support",2,executive
"Fraud or suspicious account activity detected","critical","fraud_team",1,security
"SLA breach within 1 hour of deadline","high","team_lead_and_account_manager",1,sla_breach
"Customer reports data loss or corruption","critical","data_engineering_team",1,technical
"Regulatory compliance inquiry from government","critical","legal_and_compliance_team",2,compliance
"New enterprise onboarding blocked by technical issue","high","onboarding_specialist",4,enterprise
"Customer in healthcare vertical reports HIPAA concern","critical","compliance_officer",1,compliance
"Concurrent tickets from same organization >5","high","account_manager",2,enterprise
"Feature request from top-10 customer by revenue","medium","product_manager",24,product
"Customer reports competitor offering migration assistance","high","retention_team",4,retention
"Webhook or API integration failure lasting >1 hour","high","platform_engineering",2,technical
"Customer unable to access account for >4 hours","high","identity_team",4,account_access
"Negative review posted on G2 or Capterra","medium","customer_success_and_marketing",8,reputation
"Customer reports billing for cancelled subscription","high","billing_specialist",4,billing
"Multi-region service degradation detected","critical","infrastructure_team",0.5,technical
"Customer with pending renewal reports dissatisfaction","high","renewal_manager",4,retention
"Agent unable to resolve after consulting knowledge base","medium","subject_matter_expert",4,knowledge_gap
"Customer in financial services reports audit requirement","high","compliance_team",8,compliance
"Mobile app crash reported by >10 users simultaneously","critical","mobile_engineering_team",1,technical
"Ticket contains keywords: urgent, emergency, critical, asap","high","senior_agent",2,priority_keywords
"Customer waiting > 24h (scenario 1)","critical","Team Lead","1","billing"
"VIP customer complaint (scenario 2)","high","Manager","2","technical"
"Legal threat received (scenario 3)","medium","Director","48","account"
"Data breach report (scenario 4)","low","VP Support","24","security"
"Repeated complaint (3+) (scenario 5)","critical","Legal Team","48","compliance"
"Billing error > $500 (scenario 6)","high","Security Team","8","product"
"Service outage impact (scenario 7)","medium","Engineering","8","delivery"
"Social media escalation (scenario 8)","low","Account Manager","8","returns"
"Executive complaint (scenario 9)","critical","Executive Support","24","billing"
"Regulatory inquiry (scenario 10)","high","Compliance Officer","24","technical"
"Product safety concern (scenario 11)","medium","Team Lead","1","account"
"Fraud suspected (scenario 12)","low","Manager","12","security"
"Contract dispute (scenario 13)","critical","Director","24","compliance"
"SLA breach detected (scenario 14)","high","VP Support","1","product"
"Mass incident (10+ tickets) (scenario 15)","medium","Legal Team","12","delivery"
"Customer churn risk (scenario 16)","low","Security Team","1","returns"
"Payment failure recurring (scenario 17)","critical","Engineering","4","billing"
"Accessibility complaint (scenario 18)","high","Account Manager","12","technical"
"GDPR data request (scenario 19)","medium","Executive Support","48","account"
"Refund > $1000 (scenario 20)","low","Compliance Officer","2","security"
"Customer waiting > 24h (scenario 21)","critical","Team Lead","1","compliance"
"VIP customer complaint (scenario 22)","high","Manager","8","product"
"Legal threat received (scenario 23)","medium","Director","48","delivery"
"Data breach report (scenario 24)","low","VP Support","24","returns"
"Repeated complaint (3+) (scenario 25)","critical","Legal Team","12","billing"
"Billing error > $500 (scenario 26)","high","Security Team","24","technical"
"Service outage impact (scenario 27)","medium","Engineering","8","account"
"Social media escalation (scenario 28)","low","Account Manager","12","security"
"Executive complaint (scenario 29)","critical","Executive Support","2","compliance"
"Regulatory inquiry (scenario 30)","high","Compliance Officer","1","product"
"Product safety concern (scenario 31)","medium","Team Lead","1","delivery"
"Fraud suspected (scenario 32)","low","Manager","2","returns"
"Contract dispute (scenario 33)","critical","Director","8","billing"
"SLA breach detected (scenario 34)","high","VP Support","2","technical"
"Mass incident (10+ tickets) (scenario 35)","medium","Legal Team","48","account"
"Customer churn risk (scenario 36)","low","Security Team","48","security"
"Payment failure recurring (scenario 37)","critical","Engineering","48","compliance"
"Accessibility complaint (scenario 38)","high","Account Manager","48","product"
"GDPR data request (scenario 39)","medium","Executive Support","8","delivery"
"Refund > $1000 (scenario 40)","low","Compliance Officer","4","returns"
"Customer waiting > 24h (scenario 41)","critical","Team Lead","2","billing"
"VIP customer complaint (scenario 42)","high","Manager","1","technical"
"Legal threat received (scenario 43)","medium","Director","24","account"
"Data breach report (scenario 44)","low","VP Support","4","security"
"Repeated complaint (3+) (scenario 45)","critical","Legal Team","4","compliance"
"Billing error > $500 (scenario 46)","high","Security Team","4","product"
"Service outage impact (scenario 47)","medium","Engineering","4","delivery"
"Social media escalation (scenario 48)","low","Account Manager","24","returns"
"Executive complaint (scenario 49)","critical","Executive Support","48","billing"
"Regulatory inquiry (scenario 50)","high","Compliance Officer","12","technical"
"Product safety concern (scenario 51)","medium","Team Lead","24","account"
"Fraud suspected (scenario 52)","low","Manager","8","security"
"Contract dispute (scenario 53)","critical","Director","1","compliance"
"SLA breach detected (scenario 54)","high","VP Support","48","product"
"Mass incident (10+ tickets) (scenario 55)","medium","Legal Team","2","delivery"
"Customer churn risk (scenario 56)","low","Security Team","1","returns"
"Payment failure recurring (scenario 57)","critical","Engineering","1","billing"
"Accessibility complaint (scenario 58)","high","Account Manager","4","technical"
"GDPR data request (scenario 59)","medium","Executive Support","48","account"
"Refund > $1000 (scenario 60)","low","Compliance Officer","8","security"
"Customer waiting > 24h (scenario 61)","critical","Team Lead","24","compliance"
"VIP customer complaint (scenario 62)","high","Manager","2","product"
"Legal threat received (scenario 63)","medium","Director","4","delivery"
"Data breach report (scenario 64)","low","VP Support","24","returns"
"Repeated complaint (3+) (scenario 65)","critical","Legal Team","8","billing"
"Billing error > $500 (scenario 66)","high","Security Team","4","technical"
"Service outage impact (scenario 67)","medium","Engineering","24","account"
"Social media escalation (scenario 68)","low","Account Manager","8","security"
"Executive complaint (scenario 69)","critical","Executive Support","12","compliance"
"Regulatory inquiry (scenario 70)","high","Compliance Officer","8","product"
"Product safety concern (scenario 71)","medium","Team Lead","12","delivery"
"Fraud suspected (scenario 72)","low","Manager","48","returns"
"Contract dispute (scenario 73)","critical","Director","24","billing"
"SLA breach detected (scenario 74)","high","VP Support","48","technical"
"Mass incident (10+ tickets) (scenario 75)","medium","Legal Team","1","account"
"Customer churn risk (scenario 76)","low","Security Team","4","security"
"Payment failure recurring (scenario 77)","critical","Engineering","2","compliance"
"Accessibility complaint (scenario 78)","high","Account Manager","4","product"
"GDPR data request (scenario 79)","medium","Executive Support","4","delivery"
"Refund > $1000 (scenario 80)","low","Compliance Officer","1","returns"
"Customer waiting > 24h (scenario 81)","critical","Team Lead","8","billing"
"VIP customer complaint (scenario 82)","high","Manager","24","technical"
"Legal threat received (scenario 83)","medium","Director","4","account"
"Data breach report (scenario 84)","low","VP Support","4","security"
"Repeated complaint (3+) (scenario 85)","critical","Legal Team","12","compliance"
"Billing error > $500 (scenario 86)","high","Security Team","12","product"
"Service outage impact (scenario 87)","medium","Engineering","4","delivery"
"Social media escalation (scenario 88)","low","Account Manager","8","returns"
"Executive complaint (scenario 89)","critical","Executive Support","24","billing"
"Regulatory inquiry (scenario 90)","high","Compliance Officer","8","technical"
"Product safety concern (scenario 91)","medium","Team Lead","4","account"
"Fraud suspected (scenario 92)","low","Manager","8","security"
"Contract dispute (scenario 93)","critical","Director","4","compliance"
"SLA breach detected (scenario 94)","high","VP Support","1","product"
"Mass incident (10+ tickets) (scenario 95)","medium","Legal Team","24","delivery"
"Customer churn risk (scenario 96)","low","Security Team","4","returns"
"Payment failure recurring (scenario 97)","critical","Engineering","24","billing"
"Accessibility complaint (scenario 98)","high","Account Manager","24","technical"
"GDPR data request (scenario 99)","medium","Executive Support","24","account"
"Refund > $1000 (scenario 100)","low","Compliance Officer","4","security"
"Customer waiting > 24h (scenario 101)","critical","Team Lead","8","compliance"
"VIP customer complaint (scenario 102)","high","Manager","48","product"
"Legal threat received (scenario 103)","medium","Director","12","delivery"
"Data breach report (scenario 104)","low","VP Support","24","returns"
"Repeated complaint (3+) (scenario 105)","critical","Legal Team","8","billing"
"Billing error > $500 (scenario 106)","high","Security Team","2","technical"
"Service outage impact (scenario 107)","medium","Engineering","2","account"
"Social media escalation (scenario 108)","low","Account Manager","1","security"
"Executive complaint (scenario 109)","critical","Executive Support","12","compliance"
"Regulatory inquiry (scenario 110)","high","Compliance Officer","48","product"
"Product safety concern (scenario 111)","medium","Team Lead","48","delivery"
"Fraud suspected (scenario 112)","low","Manager","48","returns"
"Contract dispute (scenario 113)","critical","Director","4","billing"
"SLA breach detected (scenario 114)","high","VP Support","2","technical"
"Mass incident (10+ tickets) (scenario 115)","medium","Legal Team","48","account"
"Customer churn risk (scenario 116)","low","Security Team","12","security"
"Payment failure recurring (scenario 117)","critical","Engineering","8","compliance"
"Accessibility complaint (scenario 118)","high","Account Manager","8","product"
"GDPR data request (scenario 119)","medium","Executive Support","2","delivery"
"Refund > $1000 (scenario 120)","low","Compliance Officer","8","returns"
"Customer waiting > 24h (scenario 121)","critical","Team Lead","24","billing"
"VIP customer complaint (scenario 122)","high","Manager","2","technical"
"Legal threat received (scenario 123)","medium","Director","1","account"
"Data breach report (scenario 124)","low","VP Support","24","security"
"Repeated complaint (3+) (scenario 125)","critical","Legal Team","2","compliance"
"Billing error > $500 (scenario 126)","high","Security Team","1","product"
"Service outage impact (scenario 127)","medium","Engineering","4","delivery"
"Social media escalation (scenario 128)","low","Account Manager","1","returns"
"Executive complaint (scenario 129)","critical","Executive Support","12","billing"
"Regulatory inquiry (scenario 130)","high","Compliance Officer","4","technical"
"Product safety concern (scenario 131)","medium","Team Lead","12","account"
"Fraud suspected (scenario 132)","low","Manager","48","security"
"Contract dispute (scenario 133)","critical","Director","48","compliance"
"SLA breach detected (scenario 134)","high","VP Support","4","product"
"Mass incident (10+ tickets) (scenario 135)","medium","Legal Team","24","delivery"
"Customer churn risk (scenario 136)","low","Security Team","24","returns"
"Payment failure recurring (scenario 137)","critical","Engineering","4","billing"
"Accessibility complaint (scenario 138)","high","Account Manager","1","technical"
"GDPR data request (scenario 139)","medium","Executive Support","12","account"
"Refund > $1000 (scenario 140)","low","Compliance Officer","8","security"
"Customer waiting > 24h (scenario 141)","critical","Team Lead","4","compliance"
"VIP customer complaint (scenario 142)","high","Manager","24","product"
"Legal threat received (scenario 143)","medium","Director","4","delivery"
"Data breach report (scenario 144)","low","VP Support","24","returns"
"Repeated complaint (3+) (scenario 145)","critical","Legal Team","8","billing"
"Billing error > $500 (scenario 146)","high","Security Team","12","technical"
"Service outage impact (scenario 147)","medium","Engineering","48","account"
"Social media escalation (scenario 148)","low","Account Manager","48","security"
"Executive complaint (scenario 149)","critical","Executive Support","2","compliance"
"Regulatory inquiry (scenario 150)","high","Compliance Officer","1","product"
"Product safety concern (scenario 151)","medium","Team Lead","1","delivery"
"Fraud suspected (scenario 152)","low","Manager","1","returns"
"Contract dispute (scenario 153)","critical","Director","12","billing"
"SLA breach detected (scenario 154)","high","VP Support","48","technical"
"Mass incident (10+ tickets) (scenario 155)","medium","Legal Team","4","account"
"Customer churn risk (scenario 156)","low","Security Team","4","security"
"Payment failure recurring (scenario 157)","critical","Engineering","8","compliance"
"Accessibility complaint (scenario 158)","high","Account Manager","24","product"
"GDPR data request (scenario 159)","medium","Executive Support","24","delivery"
"Refund > $1000 (scenario 160)","low","Compliance Officer","4","returns"
