transaction_id,type,amount,currency,category,description,risk_score,flagged
TXN-0001,credit,4500.00,USD,payroll,"Monthly salary deposit - Acme Corp",0.05,false
TXN-0002,debit,1850.00,USD,rent,"Monthly office lease payment - Suite 400",0.02,false
TXN-0003,debit,127.50,USD,utilities,"Electricity bill - Pacific Gas & Electric",0.01,false
TXN-0004,credit,12750.00,USD,invoice,"Client payment - Q3 consulting engagement",0.08,false
TXN-0005,debit,9999.00,USD,transfer,"Wire transfer to offshore account - Cayman Islands",0.89,true
TXN-0006,debit,42.99,USD,subscription,"Monthly SaaS subscription - Slack Business+",0.01,false
TXN-0007,credit,250000.00,USD,investment,"Venture capital funding round - Series A tranche",0.15,false
TXN-0008,debit,3200.00,EUR,travel,"Business travel - Frankfurt conference flights and hotel",0.12,false
TXN-0009,debit,89.99,USD,insurance,"Monthly professional liability insurance premium",0.01,false
TXN-0010,credit,1500.00,USD,refund,"Product return refund - Order #78234",0.06,false
TXN-0011,debit,15000.00,USD,equipment,"Server hardware purchase - Dell PowerEdge R750",0.08,false
TXN-0012,debit,9800.00,USD,transfer,"Structured deposits just under reporting threshold",0.95,true
TXN-0013,credit,6200.00,GBP,invoice,"Client payment - UK marketing campaign deliverables",0.10,false
TXN-0014,debit,450.00,USD,office_supplies,"Office furniture and supplies - Staples order",0.02,false
TXN-0015,debit,2100.00,USD,professional_services,"Legal fees - contract review and compliance audit",0.04,false
TXN-0016,credit,8900.00,USD,sales,"Product sales revenue - online store weekly settlement",0.05,false
TXN-0017,debit,175.00,USD,subscription,"Annual domain registration and SSL certificates",0.01,false
TXN-0018,debit,50000.00,USD,transfer,"Large wire to newly opened account - same day request",0.82,true
TXN-0019,credit,3400.00,CAD,invoice,"Consulting fee payment from Canadian subsidiary",0.07,false
TXN-0020,debit,720.00,USD,marketing,"Google Ads campaign - monthly spend",0.03,false
TXN-0021,debit,14500.00,USD,payroll,"Biweekly payroll batch - 3 employees",0.04,false
TXN-0022,credit,22000.00,USD,loan,"Business line of credit drawdown",0.10,false
TXN-0023,debit,5500.00,USD,loan_payment,"Monthly loan repayment - SBA loan #4421",0.03,false
