code,description,category,common_symptoms,typical_treatment
I21.0,"Acute ST elevation myocardial infarction of anterior wall",Cardiology,"Chest pain, diaphoresis, dyspnea, ST elevation on ECG","Emergency PCI, dual antiplatelet therapy, beta-blockers, statins"
I48.0,"Paroxysmal atrial fibrillation",Cardiology,"Palpitations, irregular heartbeat, dizziness, fatigue","Rate or rhythm control, anticoagulation based on CHA2DS2-VASc score"
I50.9,"Heart failure unspecified",Cardiology,"Dyspnea, edema, orthopnea, fatigue, weight gain","ACE inhibitors, beta-blockers, diuretics, aldosterone antagonists"
I10,"Essential primary hypertension",Cardiology,"Often asymptomatic, headache, dizziness in severe cases","Lifestyle modification, ACE inhibitors, ARBs, CCBs, thiazides"
I25.10,"Atherosclerotic heart disease of native coronary artery without angina",Cardiology,"May be asymptomatic, exertional chest pain, dyspnea","Statins, aspirin, risk factor modification, revascularization if indicated"
I63.9,"Cerebral infarction unspecified",Neurology,"Sudden weakness, speech difficulty, facial droop, vision changes","tPA within 4.5 hours, thrombectomy, antiplatelet therapy, rehabilitation"
G40.909,"Epilepsy unspecified not intractable without status epilepticus",Neurology,"Seizures, loss of consciousness, postictal confusion, aura","Anticonvulsants (levetiracetam, valproate), lifestyle modifications"
G20,"Parkinson's disease",Neurology,"Resting tremor, bradykinesia, rigidity, postural instability","Carbidopa/levodopa, dopamine agonists, MAO-B inhibitors, DBS"
G35,"Multiple sclerosis",Neurology,"Optic neuritis, weakness, sensory changes, fatigue, spasticity","Disease-modifying therapies, corticosteroids for relapses, symptomatic treatment"
G43.909,"Migraine unspecified not intractable without status migrainosus",Neurology,"Severe headache, nausea, photophobia, phonophobia, aura","Triptans for acute attacks, preventive therapy with beta-blockers or topiramate"
E11.9,"Type 2 diabetes mellitus without complications",Endocrinology,"Polyuria, polydipsia, fatigue, blurred vision, slow wound healing","Metformin first-line, lifestyle modification, SGLT2 inhibitors, GLP-1 agonists"
E10.9,"Type 1 diabetes mellitus without complications",Endocrinology,"Polyuria, polydipsia, weight loss, DKA at presentation","Insulin therapy (basal-bolus), continuous glucose monitoring, carb counting"
E03.9,"Hypothyroidism unspecified",Endocrinology,"Fatigue, cold intolerance, weight gain, constipation, dry skin","Levothyroxine replacement, TSH monitoring every 6-8 weeks initially"
E05.00,"Thyrotoxicosis with diffuse goiter without thyrotoxic crisis",Endocrinology,"Weight loss, heat intolerance, tremor, palpitations, exophthalmos","Methimazole, propranolol, radioactive iodine, thyroidectomy"
E66.01,"Morbid obesity due to excess calories",Endocrinology,"BMI ≥40, joint pain, sleep apnea, metabolic syndrome","Lifestyle modification, pharmacotherapy, bariatric surgery consideration"
J18.9,"Pneumonia unspecified organism",Pulmonology,"Cough, fever, dyspnea, pleuritic chest pain, sputum production","Antibiotics based on likely pathogen, supportive care, oxygen therapy"
J44.1,"Chronic obstructive pulmonary disease with acute exacerbation",Pulmonology,"Worsening dyspnea, increased sputum, wheezing, chest tightness","Bronchodilators, systemic corticosteroids, antibiotics, oxygen therapy"
J45.40,"Moderate persistent asthma uncomplicated",Pulmonology,"Wheezing, cough, dyspnea, chest tightness, nocturnal symptoms","Inhaled corticosteroids, LABA, SABA rescue, leukotriene modifiers"
J84.112,"Idiopathic pulmonary fibrosis",Pulmonology,"Progressive dyspnea, dry cough, velcro crackles, clubbing","Pirfenidone or nintedanib, oxygen therapy, lung transplant evaluation"
I26.99,"Other pulmonary embolism without acute cor pulmonale",Pulmonology,"Dyspnea, pleuritic chest pain, tachycardia, hemoptysis","Anticoagulation (heparin then DOAC), thrombolysis for massive PE"
N18.3,"Chronic kidney disease stage 3",Nephrology,"Often asymptomatic, fatigue, edema, nocturia","ACE/ARB, blood pressure control, dietary modifications, avoid nephrotoxins"
N17.9,"Acute kidney injury unspecified",Nephrology,"Oliguria, edema, elevated creatinine, electrolyte abnormalities","Identify and treat cause, fluid management, electrolyte correction, dialysis if needed"
K50.90,"Crohn's disease unspecified without complications",Gastroenterology,"Abdominal pain, diarrhea, weight loss, fatigue, perianal disease","5-ASA, corticosteroids, immunomodulators, biologics (anti-TNF)"
K51.90,"Ulcerative colitis unspecified without complications",Gastroenterology,"Bloody diarrhea, urgency, tenesmus, abdominal cramping","Mesalamine, corticosteroids, azathioprine, biologics, colectomy"
K21.0,"Gastroesophageal reflux disease with esophagitis",Gastroenterology,"Heartburn, regurgitation, dysphagia, chest pain, chronic cough","PPIs, lifestyle modification, H2 blockers, fundoplication if refractory"
K80.20,"Calculus of gallbladder without cholecystitis without obstruction",Gastroenterology,"Right upper quadrant pain, nausea after fatty meals, bloating","Laparoscopic cholecystectomy for symptomatic stones"
K85.9,"Acute pancreatitis unspecified",Gastroenterology,"Severe epigastric pain radiating to back, nausea, vomiting","NPO, IV fluids, pain management, treat underlying cause"
M05.79,"Rheumatoid arthritis with rheumatoid factor of unspecified site",Rheumatology,"Joint pain and swelling, morning stiffness, fatigue, nodules","MTX first-line DMARD, biologics, NSAIDs, low-dose corticosteroids"
M32.9,"Systemic lupus erythematosus unspecified",Rheumatology,"Malar rash, arthralgia, fatigue, serositis, renal involvement","Hydroxychloroquine, corticosteroids, immunosuppressants, belimumab"
M10.9,"Gout unspecified",Rheumatology,"Acute joint pain and swelling, erythema, typically first MTP","Colchicine, NSAIDs for acute; allopurinol, febuxostat for chronic"
M81.0,"Age-related osteoporosis without current pathological fracture",Rheumatology,"Often asymptomatic until fracture, loss of height, kyphosis","Bisphosphonates, calcium, vitamin D, weight-bearing exercise, denosumab"
C34.90,"Malignant neoplasm of unspecified part of bronchus or lung",Oncology,"Cough, hemoptysis, weight loss, dyspnea, chest pain","Surgery, chemotherapy, radiation, targeted therapy, immunotherapy based on stage"
C50.919,"Malignant neoplasm of unspecified site of unspecified female breast",Oncology,"Breast lump, skin changes, nipple discharge, axillary lymphadenopathy","Surgery, chemotherapy, radiation, hormonal therapy, HER2-targeted therapy"
C18.9,"Malignant neoplasm of colon unspecified",Oncology,"Change in bowel habits, rectal bleeding, abdominal pain, weight loss, anemia","Surgical resection, adjuvant chemotherapy (FOLFOX), targeted therapy"
C61,"Malignant neoplasm of prostate",Oncology,"Often asymptomatic early, urinary symptoms, elevated PSA","Active surveillance, prostatectomy, radiation, ADT, chemotherapy"
C25.9,"Malignant neoplasm of pancreas unspecified",Oncology,"Jaundice, weight loss, abdominal/back pain, new-onset diabetes","Whipple procedure if resectable, FOLFIRINOX, gemcitabine, palliative care"
F32.9,"Major depressive disorder single episode unspecified",Psychiatry,"Depressed mood, anhedonia, sleep changes, fatigue, concentration difficulty","SSRIs, psychotherapy (CBT), lifestyle modification, ECT for refractory"
F41.1,"Generalized anxiety disorder",Psychiatry,"Excessive worry, restlessness, muscle tension, insomnia, irritability","SSRIs/SNRIs, CBT, buspirone, short-term benzodiazepines if severe"
F31.9,"Bipolar disorder unspecified",Psychiatry,"Mood episodes (mania and depression), grandiosity, decreased sleep need","Lithium, valproate, atypical antipsychotics, lamotrigine"
F20.9,"Schizophrenia unspecified",Psychiatry,"Hallucinations, delusions, disorganized speech, negative symptoms","Atypical antipsychotics, psychosocial rehabilitation, clozapine for refractory"
D64.9,"Anemia unspecified",Hematology,"Fatigue, pallor, dyspnea on exertion, tachycardia, dizziness","Depends on cause: iron replacement, B12, folate, transfusion, EPO"
D69.6,"Thrombocytopenia unspecified",Hematology,"Easy bruising, petechiae, mucosal bleeding, menorrhagia","Treat underlying cause, corticosteroids for ITP, platelet transfusion if severe"
I82.409,"Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity",Hematology,"Leg swelling, pain, warmth, erythema, Homans sign","Anticoagulation (LMWH/DOAC), compression stockings, IVC filter if contraindicated"
L40.50,"Arthropathic psoriasis unspecified",Dermatology,"Scaly plaques, nail changes, joint pain and swelling, dactylitis","Topical steroids, methotrexate, biologics (anti-TNF, IL-17 inhibitors)"
L20.9,"Atopic dermatitis unspecified",Dermatology,"Pruritus, erythematous patches, lichenification, dry skin","Emollients, topical corticosteroids, calcineurin inhibitors, dupilumab"
A41.9,"Sepsis unspecified organism",Infectious Disease,"Fever, tachycardia, hypotension, altered mental status, elevated lactate","Broad-spectrum antibiotics, IV fluid resuscitation, vasopressors, source control"
B20,"Human immunodeficiency virus disease",Infectious Disease,"Often asymptomatic early, weight loss, opportunistic infections, lymphadenopathy","Antiretroviral therapy (ART), opportunistic infection prophylaxis"
A15.0,"Tuberculosis of lung",Infectious Disease,"Chronic cough, hemoptysis, night sweats, weight loss, fever","RIPE therapy (rifampin, isoniazid, pyrazinamide, ethambutol)"
S72.009A,"Fracture of unspecified part of neck of unspecified femur initial encounter",Orthopedics,"Hip pain, inability to bear weight, shortened and externally rotated leg","Surgical fixation (hemiarthroplasty or ORIF), DVT prophylaxis, rehabilitation"
M54.5,"Low back pain",Orthopedics,"Lumbar pain, muscle spasm, limited range of motion, may radiate to legs","NSAIDs, physical therapy, activity modification, epidural injection if radiculopathy"
"I21.0","ST elevation myocardial infarction of anterior wall","cardiology","Chest pain, diaphoresis, dyspnea","PCI, thrombolytics, anticoagulation"
"G43.1","Migraine with aura","neurology","Headache, visual disturbance, nausea","Triptans, prophylactic beta-blockers"
"M05.7","Rheumatoid arthritis with rheumatoid factor","rheumatology","Joint pain, morning stiffness, swelling","DMARDs, biologics, NSAIDs"
"C81.1","Nodular sclerosis Hodgkin lymphoma","oncology","Lymphadenopathy, B symptoms, fatigue","ABVD chemotherapy, radiation"
"J18.9","Pneumonia, unspecified organism","pulmonology","Cough, fever, dyspnea, chest pain","Antibiotics, oxygen therapy"
"E11.9","Type 2 diabetes without complications","endocrinology","Polyuria, polydipsia, weight loss","Metformin, lifestyle modification"
"I10","Essential hypertension","cardiology","Headache, dizziness, vision changes","ACE inhibitors, ARBs, lifestyle"
"J45.2","Mild intermittent asthma","pulmonology","Wheezing, cough, chest tightness","SABA PRN, ICS for persistent"
"F32.1","Major depressive disorder, moderate","psychiatry","Depressed mood, anhedonia, insomnia","SSRI, psychotherapy"
"K21.0","GERD with esophagitis","gastroenterology","Heartburn, regurgitation, dysphagia","PPI, lifestyle modification"
"K10.0","Condition related to rheumatology (variant 10)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"L11.1","Condition related to infectious_disease (variant 11)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
