workflow_name,description,trigger,steps,tools,category
"Employee Onboarding","Automates new hire setup including accounts, equipment, and training assignments","new_hire_form_submitted","1. Create AD account 2. Provision email 3. Assign licenses 4. Create Jira account 5. Send welcome email 6. Schedule orientation","Okta, Microsoft 365, Jira, Slack, Zapier","hr"
"Invoice Processing","Extracts data from invoices, validates, and routes for approval","email_attachment_received","1. Extract PDF from email 2. OCR text extraction 3. Parse fields 4. Validate against PO 5. Route for approval 6. Update ERP","UiPath, ABBYY, SAP, DocuSign","finance"
"Server Provisioning","Automatically provisions and configures new servers based on requests","service_ticket_created","1. Parse requirements 2. Create VM via Terraform 3. Configure OS 4. Install packages 5. Register in monitoring 6. Notify requester","Terraform, Ansible, Prometheus, ServiceNow","infrastructure"
"CI/CD Pipeline","Builds, tests, and deploys application on code push","git_push_to_main","1. Checkout code 2. Run linter 3. Execute unit tests 4. Build Docker image 5. Push to registry 6. Deploy to staging 7. Run e2e tests 8. Deploy to production","GitHub Actions, Docker, pytest, ArgoCD","devops"
"Incident Response","Automatically triages and escalates production incidents","alert_triggered","1. Receive alert 2. Classify severity 3. Create incident channel 4. Page on-call 5. Run diagnostics 6. Collect logs 7. Update status page","PagerDuty, Slack, Datadog, Statuspage","operations"
"Customer Welcome Sequence","Sends personalized onboarding emails over 7 days","new_customer_signup","1. Send welcome email 2. Day 2: feature guide 3. Day 4: tips email 4. Day 7: check-in 5. Assign CSM if enterprise","HubSpot, Intercom, Segment","marketing"
"Data Backup","Automated daily backup of databases and critical files","cron_schedule_daily","1. Snapshot databases 2. Export to S3 3. Verify integrity 4. Encrypt backups 5. Rotate old backups 6. Send report","AWS Backup, pg_dump, rclone, Slack","infrastructure"
"Expense Report Approval","Routes expense reports through multi-level approval chain","expense_submitted","1. Validate receipts 2. Check policy compliance 3. Route to manager 4. If >$5000 route to VP 5. Process payment 6. Update accounting","Concur, Slack, QuickBooks","finance"
"Security Scan Pipeline","Runs security scans on every pull request","pull_request_opened","1. SAST scan 2. Dependency check 3. Container scan 4. Secret detection 5. Generate report 6. Comment on PR 7. Block merge if critical","Snyk, SonarQube, Trivy, GitLeaks, GitHub","security"
"Lead Scoring","Automatically scores and routes incoming leads","form_submission","1. Capture lead data 2. Enrich from Clearbit 3. Score based on criteria 4. Route hot leads to sales 5. Add cold leads to nurture 6. Update CRM","Salesforce, Clearbit, Marketo, Zapier","sales"
"Database Migration","Automates schema migrations with rollback capability","deployment_triggered","1. Backup current DB 2. Run migration scripts 3. Validate schema 4. Run data integrity checks 5. Update connection strings 6. Rollback if failed","Flyway, Liquibase, PostgreSQL, Jenkins","devops"
"Report Generation","Generates and distributes weekly business reports","cron_schedule_weekly","1. Query data warehouse 2. Run analytics 3. Generate charts 4. Compile PDF report 5. Email stakeholders 6. Archive in SharePoint","Python, Pandas, Matplotlib, Power BI, Outlook","analytics"
"Patch Management","Automates OS and application patching across fleet","cron_schedule_monthly","1. Scan for updates 2. Test in staging 3. Create maintenance window 4. Apply patches in waves 5. Verify services 6. Generate compliance report","Ansible, WSUS, Qualys, ServiceNow","infrastructure"
"Contract Renewal","Monitors and automates contract renewal workflows","60_days_before_expiry","1. Send reminder to account manager 2. Generate renewal proposal 3. Route for legal review 4. Send to customer 5. Track signatures 6. Update CRM","Salesforce, DocuSign, Slack, Ironclad","sales"
"Log Rotation","Manages log files to prevent disk space issues","cron_schedule_daily","1. Check log sizes 2. Compress old logs 3. Archive to S3 4. Delete logs older than 90 days 5. Update retention policy 6. Alert if disk >80%","logrotate, AWS S3, CloudWatch, Bash","infrastructure"
"User Offboarding","Disables accounts and revokes access when employee leaves","termination_approved","1. Disable AD account 2. Revoke OAuth tokens 3. Transfer files 4. Remove from groups 5. Wipe device 6. Archive mailbox 7. Update HR system","Okta, Google Workspace, Intune, BambooHR","hr"
"Order Fulfillment","Processes e-commerce orders from payment to shipping","order_placed","1. Verify payment 2. Check inventory 3. Generate pick list 4. Create shipping label 5. Update tracking 6. Send confirmation email","Shopify, Stripe, ShipStation, SendGrid","ecommerce"
"Social Media Posting","Schedules and publishes content across platforms","content_approved","1. Format for each platform 2. Resize images 3. Schedule posts 4. Publish at optimal times 5. Monitor engagement 6. Report metrics","Buffer, Canva, Hootsuite, Google Analytics","marketing"
"Vulnerability Remediation","Tracks and manages vulnerability fixes","vulnerability_detected","1. Classify severity 2. Create Jira ticket 3. Assign to team 4. Track SLA 5. Verify fix deployed 6. Rescan 7. Close ticket","Qualys, Jira, Slack, Jenkins","security"
"Meeting Scheduler","Automates meeting scheduling and follow-ups","meeting_requested","1. Check calendars 2. Find available slots 3. Send poll to attendees 4. Book room 5. Create agenda doc 6. Send reminders 7. Share recording","Calendly, Google Calendar, Zoom, Notion","productivity"
"Data Pipeline ETL","Extracts, transforms, and loads data on schedule","cron_schedule_hourly","1. Extract from sources 2. Validate raw data 3. Transform and clean 4. Apply business rules 5. Load to warehouse 6. Update dashboards","Apache Airflow, dbt, Snowflake, Fivetran","data"
"Certificate Renewal","Monitors and renews SSL certificates before expiry","30_days_before_expiry","1. Check certificate expiry 2. Generate CSR 3. Request renewal 4. Validate domain 5. Install new cert 6. Verify SSL 7. Notify team","Certbot, Let's Encrypt, Nginx, Slack","security"
"IT Asset Tracking","Manages hardware lifecycle from procurement to disposal","asset_received","1. Register in CMDB 2. Apply asset tag 3. Install standard image 4. Assign to user 5. Track warranty 6. Schedule refresh","ServiceNow, SCCM, Snipe-IT, Jamf","infrastructure"
