"question","answer","category"
"How do I create a Deployment in development on EKS?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On EKS in development, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in development on AKS?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On AKS in development, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in development on GKE?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On GKE in development, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in development on self-managed?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On self-managed in development, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in development on k3s?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On k3s in development, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in development on OpenShift?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On OpenShift in development, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in staging on EKS?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On EKS in staging, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in staging on AKS?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On AKS in staging, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in staging on GKE?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On GKE in staging, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
"How do I create a Deployment in staging on self-managed?","Define in YAML manifest with kind, metadata, and spec. Apply declaratively with kubectl apply -f. Store in Git for version control. Use Helm or Kustomize for templating. On self-managed in staging, follow the platform-specific documentation and security requirements for the environment.","kubernetes"
