question,answer,category
"What is atrial fibrillation?","Atrial fibrillation (AFib) is an irregular and often rapid heart rhythm originating from disorganized electrical signals in the atria. It increases risk of stroke, heart failure, and other complications.",cardiology
"What are the symptoms of a myocardial infarction?","Symptoms include chest pain or pressure, shortness of breath, pain radiating to the left arm or jaw, nausea, diaphoresis, and lightheadedness. Women may present with atypical symptoms like fatigue or back pain.",cardiology
"How is heart failure classified?","Heart failure is classified by the New York Heart Association (NYHA) into four classes: Class I (no limitation), Class II (slight limitation), Class III (marked limitation), and Class IV (symptoms at rest).",cardiology
"What is the first-line treatment for hypertension?","First-line treatments include ACE inhibitors, ARBs, calcium channel blockers, and thiazide diuretics. Lifestyle modifications such as dietary changes, exercise, and weight loss are also recommended.",cardiology
"What is aortic stenosis?","Aortic stenosis is narrowing of the aortic valve opening, restricting blood flow from the left ventricle to the aorta. Common causes include calcific degeneration, bicuspid aortic valve, and rheumatic disease.",cardiology
"How do you manage acute coronary syndrome?","Management includes dual antiplatelet therapy (aspirin + P2Y12 inhibitor), anticoagulation, beta-blockers, statins, and consideration for PCI or CABG depending on severity and angiographic findings.",cardiology
"What is the role of statins in cardiovascular disease?","Statins reduce LDL cholesterol by inhibiting HMG-CoA reductase. They are first-line therapy for primary and secondary prevention of atherosclerotic cardiovascular disease and have pleiotropic anti-inflammatory effects.",cardiology
"What is pericarditis?","Pericarditis is inflammation of the pericardium, presenting with sharp pleuritic chest pain that improves with leaning forward, a pericardial friction rub, and diffuse ST elevation on ECG. Common causes include viral infection and autoimmune conditions.",cardiology
"What is the difference between ischemic and hemorrhagic stroke?","Ischemic stroke results from blocked blood flow to the brain (thrombus or embolus), while hemorrhagic stroke results from ruptured blood vessels causing bleeding into brain tissue. Treatment approaches differ significantly.",neurology
"How is multiple sclerosis diagnosed?","MS is diagnosed using McDonald criteria, requiring evidence of CNS lesions disseminated in time and space. MRI showing periventricular and juxtacortical lesions, CSF oligoclonal bands, and clinical presentation guide diagnosis.",neurology
"What are the types of epileptic seizures?","Seizures are classified as focal (partial) or generalized. Focal seizures originate in one hemisphere and may be aware or impaired awareness. Generalized seizures include absence, tonic-clonic, myoclonic, and atonic types.",neurology
"What is Parkinson's disease?","Parkinson's disease is a progressive neurodegenerative disorder caused by loss of dopaminergic neurons in the substantia nigra. Cardinal features include resting tremor, bradykinesia, rigidity, and postural instability.",neurology
"How is migraine treated acutely?","Acute migraine treatment includes triptans (sumatriptan), NSAIDs, antiemetics, and for severe cases, dihydroergotamine. CGRP receptor antagonists (gepants) are newer options. Overuse of acute medications should be avoided.",neurology
"What is Guillain-Barré syndrome?","GBS is an acute inflammatory demyelinating polyneuropathy causing ascending weakness and areflexia. It often follows infection. Treatment includes IVIG or plasmapheresis. Respiratory monitoring is critical.",neurology
"What are the warning signs of meningitis?","Warning signs include severe headache, neck stiffness, photophobia, fever, altered mental status, and petechial rash (in meningococcal). Kernig and Brudzinski signs may be positive. Lumbar puncture is diagnostic.",neurology
"What is myasthenia gravis?","Myasthenia gravis is an autoimmune disorder affecting the neuromuscular junction, caused by antibodies against acetylcholine receptors. It presents with fatigable weakness, ptosis, and diplopia. Treatment includes cholinesterase inhibitors and immunosuppression.",neurology
"What are common causes of fever in pediatric patients?","Common causes include viral upper respiratory infections, otitis media, urinary tract infections, pneumonia, gastroenteritis, and pharyngitis. Age-specific considerations are critical, especially in neonates where serious bacterial infection must be ruled out.",pediatrics
"When should a child receive the MMR vaccine?","The MMR vaccine is recommended at 12-15 months for the first dose and 4-6 years for the second dose. It protects against measles, mumps, and rubella. Contraindications include severe immunodeficiency and pregnancy.",pediatrics
"How is pediatric asthma managed?","Management follows a stepwise approach: short-acting beta-agonists (SABA) for rescue, low-dose inhaled corticosteroids for persistent asthma, and step-up therapy with LABA or leukotriene modifiers as needed.",pediatrics
"What are the developmental milestones at 12 months?","At 12 months, children typically walk with support, say 1-3 words, use pincer grasp, respond to name, follow simple commands, and exhibit stranger anxiety. Failure to meet milestones warrants developmental screening.",pediatrics
"How is neonatal jaundice evaluated?","Evaluation includes total serum bilirubin or transcutaneous measurement, plotted on the Bhutani nomogram. Risk factors include ABO incompatibility, G6PD deficiency, prematurity, and breastfeeding difficulties. Phototherapy is the primary treatment.",pediatrics
"What is Kawasaki disease?","Kawasaki disease is a medium-vessel vasculitis primarily affecting children under 5. Diagnosis requires fever ≥5 days plus 4 of 5 criteria: bilateral conjunctival injection, oral changes, rash, extremity changes, and cervical lymphadenopathy. Treatment is IVIG plus aspirin.",pediatrics
"What is the approach to pediatric dehydration?","Assessment uses clinical signs: mild (<5%), moderate (5-10%), severe (>10%). Treatment involves oral rehydration therapy for mild-moderate cases and IV isotonic fluids for severe dehydration. Monitor urine output and mental status.",pediatrics
"How is childhood obesity managed?","Management includes family-based lifestyle interventions: increased physical activity, reduced screen time, dietary modification, and behavioral counseling. Pharmacotherapy may be considered in adolescents with BMI ≥95th percentile and comorbidities.",pediatrics
"What is the TNM staging system for cancer?","TNM staging describes tumor size (T), lymph node involvement (N), and distant metastasis (M). Each component is graded numerically. The system is used to determine cancer stage (I-IV) and guide treatment decisions.",oncology
"What are the common side effects of chemotherapy?","Common side effects include nausea/vomiting, myelosuppression (neutropenia, anemia, thrombocytopenia), alopecia, mucositis, fatigue, neuropathy, and immunosuppression. Management involves antiemetics, growth factors, and supportive care.",oncology
"How do immune checkpoint inhibitors work?","Checkpoint inhibitors block proteins like PD-1, PD-L1, or CTLA-4 that prevent T cells from attacking cancer cells. By releasing these 'brakes,' the immune system can recognize and destroy tumor cells. Examples include pembrolizumab and nivolumab.",oncology
"What is the role of BRCA testing in breast cancer?","BRCA1/2 mutations significantly increase lifetime risk of breast (60-80%) and ovarian cancer. Testing guides surgical decisions (prophylactic mastectomy/oophorectomy), treatment selection (PARP inhibitors), and family screening recommendations.",oncology
"How is non-small cell lung cancer treated?","Treatment depends on stage: early-stage may be surgically resected, locally advanced receives chemoradiation, and metastatic disease is treated with targeted therapy (EGFR/ALK inhibitors), immunotherapy, or chemotherapy based on molecular profiling.",oncology
"What is tumor lysis syndrome?","Tumor lysis syndrome occurs when rapid cancer cell death releases intracellular contents, causing hyperuricemia, hyperkalemia, hyperphosphatemia, and hypocalcemia. It can lead to renal failure and cardiac arrhythmias. Prevention includes hydration and allopurinol/rasburicase.",oncology
"What are paraneoplastic syndromes?","Paraneoplastic syndromes are remote effects of cancer not due to direct invasion. Examples include SIADH (small cell lung cancer), hypercalcemia (squamous cell carcinoma), and Lambert-Eaton syndrome. They may precede cancer diagnosis.",oncology
"What is the difference between type 1 and type 2 diabetes?","Type 1 is autoimmune destruction of pancreatic beta cells requiring insulin. Type 2 involves insulin resistance and progressive beta cell dysfunction, managed initially with lifestyle changes and oral hypoglycemics like metformin.",endocrinology
"How is hypothyroidism diagnosed and treated?","Diagnosis involves elevated TSH and low free T4. Primary causes include Hashimoto's thyroiditis and iodine deficiency. Treatment is levothyroxine replacement, titrated to normalize TSH levels every 6-8 weeks.",endocrinology
"What is diabetic ketoacidosis?","DKA is a life-threatening complication of diabetes characterized by hyperglycemia (>250 mg/dL), metabolic acidosis (pH <7.3), and ketonemia. Treatment includes IV fluids, insulin infusion, and electrolyte replacement, especially potassium.",endocrinology
"How is Cushing syndrome diagnosed?","Diagnosis involves demonstrating hypercortisolism via 24-hour urinary free cortisol, late-night salivary cortisol, or low-dose dexamethasone suppression test. Localization requires ACTH levels and imaging (pituitary MRI, CT abdomen).",endocrinology
"What is the management of acute asthma exacerbation?","Management includes inhaled short-acting beta-agonists (albuterol), ipratropium bromide, systemic corticosteroids, and supplemental oxygen. Severe cases may require IV magnesium sulfate, and refractory cases may need intubation and mechanical ventilation.",pulmonology
