ticket_id,customer_query,response,category,sentiment,resolution_time_hours,resolved
"TK-1001","I can't log into my account after changing my password","Please try clearing your browser cache and cookies, then use the Forgot Password link. If the issue persists, I've sent a password reset link to your registered email.","account_access","frustrated",0.5,true
"TK-1002","When will my order #45892 arrive?","Your order shipped on Feb 12 via FedEx. Tracking number: 7891234567. Estimated delivery is Feb 16. You can track it at fedex.com.","order_tracking","neutral",0.3,true
"TK-1003","I was charged twice for my subscription","I can see the duplicate charge on your account. I've initiated a refund of $29.99 which will appear in 3-5 business days. Sorry for the inconvenience.","billing","angry",1.0,true
"TK-1004","How do I export my data to CSV?","Go to Settings > Data Management > Export. Select CSV format, choose the date range, and click Export. The file will be emailed to you within 5 minutes.","feature_help","neutral",0.2,true
"TK-1005","Your app keeps crashing on my iPhone 15","We're aware of a compatibility issue with iOS 17.3. Please update to app version 4.2.1 from the App Store which includes the fix.","technical","frustrated",2.0,true
"TK-1006","I want to cancel my subscription","I'm sorry to hear that. I've processed your cancellation effective at the end of your billing cycle (March 1). You'll retain access until then. May I ask what prompted the cancellation?","account_management","neutral",0.5,true
"TK-1007","Can I upgrade from Basic to Pro plan mid-cycle?","Absolutely! I've upgraded your plan to Pro. You'll be charged a prorated amount of $14.50 for the remaining days. All Pro features are now active.","billing","positive",0.3,true
"TK-1008","The integration with Slack isn't sending notifications","Please reconnect the integration: Settings > Integrations > Slack > Disconnect, then Reconnect. This refreshes the OAuth token. If it still fails, check your Slack workspace permissions.","technical","frustrated",1.5,true
"TK-1009","I need an invoice for tax purposes","I've generated your annual invoice for 2025 and emailed it to your billing address. You can also find all invoices under Settings > Billing > Invoice History.","billing","neutral",0.2,true
"TK-1010","The dashboard is loading very slowly","We identified a performance issue affecting users in the EU region. Our team deployed a fix and response times should be back to normal. Please try again now.","technical","frustrated",3.0,true
"TK-1011","How do I add team members to my workspace?","Navigate to Settings > Team > Invite Members. Enter their email addresses and select their role (Admin, Editor, or Viewer). They'll receive an invitation email.","feature_help","neutral",0.2,true
"TK-1012","I accidentally deleted an important project","Good news - we keep deleted items for 30 days. Go to Trash in the left sidebar, find your project, and click Restore. All data and history will be recovered.","data_recovery","anxious",0.3,true
"TK-1013","Why was my account suspended?","Your account was flagged for exceeding API rate limits (10,000 requests/hour on your plan). I've lifted the suspension. Please implement rate limiting on your end to avoid future issues.","account_access","angry",2.0,true
"TK-1014","Can I get a demo of the enterprise features?","I'd be happy to arrange that! I've connected you with our enterprise team. Sarah from Sales will reach out within 24 hours to schedule a personalized demo.","sales","positive",0.5,true
"TK-1015","The PDF export is cutting off the right side of my reports","This is a known issue with wide tables. As a workaround, switch to landscape orientation in Export Settings. We're releasing a proper fix in version 4.3 next week.","technical","frustrated",1.0,true
"TK-1016","I need to update my billing address","I've updated your billing address to the new one you provided. The change will reflect on your next invoice. You can also update this anytime in Settings > Billing > Address.","billing","neutral",0.2,true
"TK-1017","Is there a way to automate recurring reports?","Yes! Go to Reports > Schedule. Choose the report, set frequency (daily/weekly/monthly), select recipients, and save. Reports will be emailed automatically in your preferred format.","feature_help","positive",0.3,true
"TK-1018","My API key isn't working anymore","Your API key was rotated during our security update on Feb 10. Please generate a new key from Settings > API > Generate New Key. The old key has been invalidated.","technical","frustrated",1.0,true
"TK-1019","I want a refund for last month","I've processed a full refund of $49.99 for your January billing. The amount will appear on your card in 5-7 business days. Is there anything else I can help with?","billing","angry",0.5,true
"TK-1020","How secure is my data on your platform?","We use AES-256 encryption at rest and TLS 1.3 in transit. We're SOC 2 Type II certified and GDPR compliant. Full security details are at docs.example.com/security.","security","neutral",0.3,true
"TK-1021","The search function isn't returning any results","Please try rebuilding your search index: Settings > Advanced > Rebuild Index. This process takes about 5 minutes. If the issue continues, let us know your account ID for investigation.","technical","frustrated",1.5,true
"TK-1022","Can you extend my free trial by a week?","I've extended your trial by 7 days, now expiring on Feb 28. This gives you more time to evaluate all features. Let me know if you have any questions!","account_management","positive",0.2,true
"TK-1023","I'm getting a 503 error when accessing the API","We experienced a brief API outage between 2:00-2:15 PM UTC. Services are fully restored now. Check status.example.com for real-time updates. Apologies for the disruption.","technical","frustrated",0.5,true
"TK-1024","How do I set up two-factor authentication?","Go to Settings > Security > Enable 2FA. You can use an authenticator app (recommended) or SMS. Scan the QR code with Google Authenticator or Authy and save your backup codes.","security","neutral",0.3,true
"TK-1025","I received someone else's invoice by email","I sincerely apologize for this privacy concern. I've reported this to our security team. The email was sent due to a data entry error. It's been corrected and the affected party notified.","billing","angry",2.0,true
"TK-1026","Can I use the platform offline?","Our desktop app supports offline mode for viewing and editing. Changes sync automatically when you reconnect. Download the desktop app from example.com/download.","feature_help","neutral",0.3,true
